gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	logFC	pct_B1	pct_A1	comparison	target	direction
Ttr	0	-18.3236595410215	0	0.976	0	-18.3236595410215	0	0.976	B1_vs_A1	vascular_gate	up_in_A1
Gphn	0	8.20464848588732	0.963	0.08	0	8.20464848588732	0.963	0.08	B1_vs_A1	vascular_gate	up_in_B1
Cmss1	0	7.39505147329449	0.917	0.078	0	7.39505147329449	0.917	0.078	B1_vs_A1	vascular_gate	up_in_B1
Ptgds	0	-5.95306550353195	0.056	0.831	0	-5.95306550353195	0.056	0.831	B1_vs_A1	vascular_gate	up_in_A1
Dpp10	0	10.7108709205133	0.702	0.001	0	10.7108709205133	0.702	0.001	B1_vs_A1	vascular_gate	up_in_B1
Kcnip4	0	9.7465055274677	0.694	0.001	0	9.7465055274677	0.694	0.001	B1_vs_A1	vascular_gate	up_in_B1
Slc1a2	0	4.77520424806567	0.734	0.082	0	4.77520424806567	0.734	0.082	B1_vs_A1	vascular_gate	up_in_B1
Camk1d	0	6.85956753109673	0.678	0.028	0	6.85956753109673	0.678	0.028	B1_vs_A1	vascular_gate	up_in_B1
Lsamp	0	5.75983007820518	0.65	0.037	0	5.75983007820518	0.65	0.037	B1_vs_A1	vascular_gate	up_in_B1
Celf2	0	5.26109475637763	0.668	0.077	0	5.26109475637763	0.668	0.077	B1_vs_A1	vascular_gate	up_in_B1
Dlg2	0	7.69147064109169	0.569	0.008	0	7.69147064109169	0.569	0.008	B1_vs_A1	vascular_gate	up_in_B1
Nrxn1	0	6.12100476232817	0.577	0.017	0	6.12100476232817	0.577	0.017	B1_vs_A1	vascular_gate	up_in_B1
Ptprd	0	5.20394470623769	0.654	0.097	0	5.20394470623769	0.654	0.097	B1_vs_A1	vascular_gate	up_in_B1
Nrxn3	0	8.0939576220664	0.549	0.003	0	8.0939576220664	0.549	0.003	B1_vs_A1	vascular_gate	up_in_B1
Bc1	0	8.49644968125027	0.55	0.005	0	8.49644968125027	0.55	0.005	B1_vs_A1	vascular_gate	up_in_B1
mt-Nd3	0	-2.29508509112362	0.91	0.992	0	-2.29508509112362	0.91	0.992	B1_vs_A1	vascular_gate	up_in_A1
Nrg3	5.17716051385949e-302	13.7564441550229	0.488	0	1.14855305999973e-297	13.7564441550229	0.488	0	B1_vs_A1	vascular_gate	up_in_B1
Csmd1	1.33649772706131e-296	8.36034925038577	0.504	0.011	2.96502020748552e-292	8.36034925038577	0.504	0.011	B1_vs_A1	vascular_gate	up_in_B1
Rbfox1	1.46023474102491e-289	8.51946712684858	0.482	0.005	3.23953077296377e-285	8.51946712684858	0.482	0.005	B1_vs_A1	vascular_gate	up_in_B1
Mgp	8.81947319724431e-273	-6.47293850322127	0.063	0.678	1.95660012880865e-268	-6.47293850322127	0.063	0.678	B1_vs_A1	vascular_gate	up_in_A1
AY036118	2.65222348090386e-262	2.184632623307	0.963	0.687	5.8839577923852e-258	2.184632623307	0.963	0.687	B1_vs_A1	vascular_gate	up_in_B1
Cdr1os	8.12433368854583e-262	13.6549625687922	0.431	0	1.80238342880389e-257	13.6549625687922	0.431	0	B1_vs_A1	vascular_gate	up_in_B1
Camk2n1	7.37556023065252e-255	3.57118474351557	0.767	0.281	1.63626803717026e-250	3.57118474351557	0.767	0.281	B1_vs_A1	vascular_gate	up_in_B1
Pcdh9	1.9111525604147e-254	7.06035805727533	0.451	0.013	4.23989195528001e-250	7.06035805727533	0.451	0.013	B1_vs_A1	vascular_gate	up_in_B1
Tle5	1.29633326921245e-251	12.9505128230465	0.417	0	2.87591535774783e-247	12.9505128230465	0.417	0	B1_vs_A1	vascular_gate	up_in_B1
Syt1	4.04868701771178e-246	6.7304774422171	0.424	0.005	8.98201214879359e-242	6.7304774422171	0.424	0.005	B1_vs_A1	vascular_gate	up_in_B1
Tenm2	5.10495628986619e-242	7.5162596027784	0.411	0.003	1.13253455290681e-237	7.5162596027784	0.411	0.003	B1_vs_A1	vascular_gate	up_in_B1
Nlgn1	8.16643896947343e-241	8.86942465239505	0.403	0.001	1.81172448537768e-236	8.86942465239505	0.403	0.001	B1_vs_A1	vascular_gate	up_in_B1
Opcml	8.17479138427871e-237	7.33287971639778	0.406	0.004	1.81357746860223e-232	7.33287971639778	0.406	0.004	B1_vs_A1	vascular_gate	up_in_B1
Gas5	3.42845082934014e-235	13.1244311437846	0.393	0	7.6060181648911e-231	13.1244311437846	0.393	0	B1_vs_A1	vascular_gate	up_in_B1
Nrg1	4.37448366198941e-235	10.4607784211313	0.396	0.001	9.7047920041235e-231	10.4607784211313	0.396	0.001	B1_vs_A1	vascular_gate	up_in_B1
Adgrl3	1.9055776103655e-234	5.83741056807336	0.454	0.028	4.22752392859586e-230	5.83741056807336	0.454	0.028	B1_vs_A1	vascular_gate	up_in_B1
Pakap.1	4.80619494301152e-232	12.8697285607475	0.388	0	1.06625434810711e-227	12.8697285607475	0.388	0	B1_vs_A1	vascular_gate	up_in_B1
Hbb-bs	1.69851364255049e-231	-0.546819915237538	0.016	0.584	3.76815251599827e-227	-0.546819915237538	0.016	0.584	B1_vs_A1	vascular_gate	up_in_A1
Nrgn	5.58862596132523e-230	2.97551958060058	0.52	0.057	1.23983666952e-225	2.97551958060058	0.52	0.057	B1_vs_A1	vascular_gate	up_in_B1
Prkcb	4.94832653003079e-229	5.35508051469375	0.434	0.02	1.09778624068733e-224	5.35508051469375	0.434	0.02	B1_vs_A1	vascular_gate	up_in_B1
Cadm2	2.00976477463697e-225	5.96812869532296	0.415	0.014	4.45866315253211e-221	5.96812869532296	0.415	0.014	B1_vs_A1	vascular_gate	up_in_B1
Grm7	1.20332670081077e-211	8.60586750629624	0.376	0.007	2.66958028574869e-207	8.60586750629624	0.376	0.007	B1_vs_A1	vascular_gate	up_in_B1
Plcb1	1.28882303359937e-210	5.2953174040387	0.548	0.126	2.8592539000402e-206	5.2953174040387	0.548	0.126	B1_vs_A1	vascular_gate	up_in_B1
Camk2a	3.27955908960906e-206	3.86504740684311	0.491	0.063	7.27570184029769e-202	3.86504740684311	0.491	0.063	B1_vs_A1	vascular_gate	up_in_B1
Gpm6b	2.59810647746342e-204	2.71801058027204	0.599	0.132	5.7638992202526e-200	2.71801058027204	0.599	0.132	B1_vs_A1	vascular_gate	up_in_B1
Oip5os1	1.13172455585806e-203	12.4005641387652	0.345	0	2.5107309271711e-199	12.4005641387652	0.345	0	B1_vs_A1	vascular_gate	up_in_B1
Mrtfb	3.77632958441885e-202	12.6138235262251	0.343	0	8.37778718303322e-198	12.6138235262251	0.343	0	B1_vs_A1	vascular_gate	up_in_B1
Nkain2	1.04039352397298e-201	9.29808567967747	0.344	0	2.30811303293406e-197	9.29808567967747	0.344	0	B1_vs_A1	vascular_gate	up_in_B1
Ntm	5.96159714396535e-199	4.51631423671683	0.427	0.037	1.32258032638871e-194	4.51631423671683	0.427	0.037	B1_vs_A1	vascular_gate	up_in_B1
Aldoc	1.06225503760238e-197	3.05096118571843	0.547	0.102	2.35661280092087e-193	3.05096118571843	0.547	0.102	B1_vs_A1	vascular_gate	up_in_B1
