groupAB	source	target	ligand	receptor	weight	pval	pathway_name	interaction_name	receptor_is_deg
A1	glia	vascular	Vegfb	Flt1	0.000109401652653572	0	VEGF	VEGFB_VEGFR1	TRUE
A1	glia	vascular	Ptn	Ncl	0.000259157171193523	0	PTN	PTN_NCL	TRUE
A1	glia	vascular	Col1a2	ITGA1_ITGB1	6.59640708516139e-05	0	COLLAGEN	COL1A2_ITGA1_ITGB1	FALSE
A1	glia	vascular	Col9a3	ITGA1_ITGB1	0.000332064226124913	0	COLLAGEN	COL9A3_ITGA1_ITGB1	FALSE
B1	glia	vascular	Vegfa	Flt1	6.5284950385938e-05	0	VEGF	VEGFA_VEGFR1	TRUE
B1	glia	vascular	Vegfa	Kdr	8.99564514944729e-06	0	VEGF	VEGFA_VEGFR2	TRUE
B1	glia	vascular	Vegfa	FLT1_KDR	2.4794494878518e-05	0	VEGF	VEGFA_VEGFR1R2	FALSE
B1	glia	vascular	Lama2	ITGA1_ITGB1	1.47072382870585e-05	0	LAMININ	LAMA2_ITGA1_ITGB1	FALSE
B1	glia	vascular	Lama2	ITGA6_ITGB1	1.29636417340284e-05	0	LAMININ	LAMA2_ITGA6_ITGB1	FALSE
B1	glia	vascular	Cadm1	Cadm1	7.46046620307837e-05	0	CADM	CADM1_CADM1	TRUE
B1	immune	vascular	F11r	Jam2	6.68461169803654e-06	0	JAM	F11R_JAM2	TRUE
B1	glia	vascular	Jam3	Jam2	4.15640487967643e-06	0	JAM	JAM3_JAM2	TRUE
B1	glia	vascular	Ptprm	Ptprm	1.80458793324303e-05	0	PTPRM	PTPRM_PTPRM	TRUE
B1	glia	vascular	Sema6a	Plxna2	1.30551099923463e-05	0	SEMA6	SEMA6A_PLXNA2	TRUE
